"UserID","WIN","JWT"
"g7g597w","211067457","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6InJlYWQ6YWxsIiwiY2xpZW50X2lkIjoibW9iaWxlLWNsaWVudCIsImd1aWQiOiI5ZTBmMmEwOC1jYjk1LTQzNmItODkzZS02MGE5YzBjZTI2ZDkiLCJpc3MiOiJwaW5nZmVkIiwianRpIjoianRpLWM5ODkzMzYxLTJhZTItNDRlZS1hOGViLTZlMTFjZGJhZDY1NiIsImF1ZCI6ImF1ZC0xMjMiLCJzdWIiOiJ1c2VyLXN1YiIsInVwbiI6InVzZXIwQHRlc3QubmV0IiwibmJmIjoiMTYwMDAwMDAwMCIsImlhdCI6IjE2MDAwMDAwMDAiLCJleHAiOiIxNzAwMDAwMDAwIiwidXNlcmlkIjoiZzdnNTk3dyIsIndpbiI6IjIxMTA2NzQ1NyIsImF1dGhvcml6YXRpb25fZGV0YWlscyI6WyJhY3Rpb246d3JpdGUiXX0.signature-placeholder"
"z8g630m","239786243","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6IndyaXRlOmxpbWl0ZWQiLCJjbGllbnRfaWQiOiJtb2JpbGUtY2xpZW50IiwiZ3VpZCI6ImIwNzRiYmY1LTZmZWUtNGI5Ny1hZjNjLWRkNDVkZWRjMjE2YyIsImlzcyI6InBpbmdmZWQiLCJqdGkiOiJqdGktMTU2NGUyM2ItN2NjMC00ODc5LTg2NGUtZTQxZTNmMDkyYmE2IiwiYXVkIjoiYXVkLTEyMyIsInN1YiI6InVzZXItc3ViIiwidXBuIjoidXNlcjFAZXhhbXBsZS5vcmciLCJuYmYiOiIxNjAwMDAwMDAwIiwiaWF0IjoiMTYwMDAwMDAwMCIsImV4cCI6IjE3MDAwMDAwMDAiLCJ1c2VyaWQiOiJ6OGc2MzBtIiwid2luIjoiMjM5Nzg2MjQzIiwiYXV0aG9yaXphdGlvbl9kZXRhaWxzIjpbImFjdGlvbjp3cml0ZSJdfQ.signature-placeholder"
"u0t588y","267040083","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6InJlYWQ6YWxsIiwiY2xpZW50X2lkIjoid2ViLWNsaWVudCIsImd1aWQiOiI1ZjVkMWJhNC02YTk0LTQwYTUtYWE3Zi05OTU0Njc0ODRjZmYiLCJpc3MiOiJwaW5nZmVkIiwianRpIjoianRpLWZmZTZjNjkyLTYyNWMtNDJmOC1iODRiLWE3NmIzYzFlNjZkYSIsImF1ZCI6ImF1ZC0xMjMiLCJzdWIiOiJ1c2VyLXN1YiIsInVwbiI6InVzZXIyQGV4YW1wbGUub3JnIiwibmJmIjoiMTYwMDAwMDAwMCIsImlhdCI6IjE2MDAwMDAwMDAiLCJleHAiOiIxNzAwMDAwMDAwIiwidXNlcmlkIjoidTB0NTg4eSIsIndpbiI6IjI2NzA0MDA4MyIsImF1dGhvcml6YXRpb25fZGV0YWlscyI6WyJhY3Rpb246ZGVsZXRlIiwiYWN0aW9uOnJlYWQiXX0.signature-placeholder"
"h5y102l","295150615","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6InJlYWQ6YWxsIiwiY2xpZW50X2lkIjoibW9iaWxlLWNsaWVudCIsImd1aWQiOiJmZWZmOGRmOS04MzM1LTRjNWItOGYyOC1hNTVjMGI3OTE2MWMiLCJpc3MiOiJwaW5nZmVkIiwianRpIjoianRpLTRkNjVmMDQ1LTA5ZTctNGY2ZC05NjQ1LWJlYjUxNjg2MzhmNiIsImF1ZCI6ImF1ZC0xMjMiLCJzdWIiOiJ1c2VyLXN1YiIsInVwbiI6InVzZXIzQGV4YW1wbGUub3JnIiwibmJmIjoiMTYwMDAwMDAwMCIsImlhdCI6IjE2MDAwMDAwMDAiLCJleHAiOiIxNzAwMDAwMDAwIiwidXNlcmlkIjoiaDV5MTAybCIsIndpbiI6IjI5NTE1MDYxNSIsImF1dGhvcml6YXRpb25fZGV0YWlscyI6WyJhY3Rpb246ZGVsZXRlIiwiYWN0aW9uOnJlYWQiXX0.signature-placeholder"
"g2v833h","251230213","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6InJlYWQ6bGltaXRlZCIsImNsaWVudF9pZCI6IndlYi1jbGllbnQiLCJndWlkIjoiMGQ2YThkNWMtMjBlNS00ZDEyLTg4NjItYjcwNTNjMjI2MzIzIiwiaXNzIjoicGluZ2ZlZCIsImp0aSI6Imp0aS1jZjQxMmZiNi0xODVjLTRmMjEtOTcwZS05NmNiZGI0ZDFjYjAiLCJhdWQiOiJhdWQtMTIzIiwic3ViIjoidXNlci1zdWIiLCJ1cG4iOiJ1c2VyNEBjb21wYW55LmNvbSIsIm5iZiI6IjE2MDAwMDAwMDAiLCJpYXQiOiIxNjAwMDAwMDAwIiwiZXhwIjoiMTcwMDAwMDAwMCIsInVzZXJpZCI6ImcydjgzM2giLCJ3aW4iOiIyNTEyMzAyMTMiLCJhdXRob3JpemF0aW9uX2RldGFpbHMiOlsiYWN0aW9uOnJlYWQiXX0.signature-placeholder"
"a7l864q","222440141","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6InJlYWQ6YWxsIiwiY2xpZW50X2lkIjoibW9iaWxlLWNsaWVudCIsImd1aWQiOiI4YjY1NWE0Zi1hMmUzLTQ0ZDktYTg2ZC04ZWU1NzBlNGVhYjciLCJpc3MiOiJwaW5nZmVkIiwianRpIjoianRpLWRmYWFjMWMxLTYyMWItNGM1MS05ZTczLWI5Mzg0OTM2OWNiYyIsImF1ZCI6ImF1ZC0xMjMiLCJzdWIiOiJ1c2VyLXN1YiIsInVwbiI6InVzZXI1QGNvbXBhbnkuY29tIiwibmJmIjoiMTYwMDAwMDAwMCIsImlhdCI6IjE2MDAwMDAwMDAiLCJleHAiOiIxNzAwMDAwMDAwIiwidXNlcmlkIjoiYTdsODY0cSIsIndpbiI6IjIyMjQ0MDE0MSIsImF1dGhvcml6YXRpb25fZGV0YWlscyI6WyJhY3Rpb246d3JpdGUiXX0.signature-placeholder"
"x3m293h","251321768","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6IndyaXRlOmxpbWl0ZWQiLCJjbGllbnRfaWQiOiJ3ZWItY2xpZW50IiwiZ3VpZCI6ImNhY2I3ZWViLTQ4OTMtNDBkOS04YjcxLTUzZDc3MDNhM2EyMiIsImlzcyI6InBpbmdmZWQiLCJqdGkiOiJqdGktZjdhZTFkYmMtZmJiYy00N2IxLWIzZTEtNGNlMGIyZTA1MDA4IiwiYXVkIjoiYXVkLTEyMyIsInN1YiI6InVzZXItc3ViIiwidXBuIjoidXNlcjZAY29tcGFueS5jb20iLCJuYmYiOiIxNjAwMDAwMDAwIiwiaWF0IjoiMTYwMDAwMDAwMCIsImV4cCI6IjE3MDAwMDAwMDAiLCJ1c2VyaWQiOiJ4M20yOTNoIiwid2luIjoiMjUxMzIxNzY4IiwiYXV0aG9yaXphdGlvbl9kZXRhaWxzIjpbImFjdGlvbjpyZWFkIl19.signature-placeholder"
"l3z836x","208099739","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6InJlYWQ6YWxsIiwiY2xpZW50X2lkIjoibW9iaWxlLWNsaWVudCIsImd1aWQiOiJkZWM0NTU3MC02ZmIxLTQ4ZTItOGRmNC0yNDAzMmVhNmJkMzciLCJpc3MiOiJwaW5nZmVkIiwianRpIjoianRpLWVlMDQ1OTk1LTQwZTYtNDM2Zi1hMzFmLTM3ZmFmY2FmNjEzZCIsImF1ZCI6ImF1ZC0xMjMiLCJzdWIiOiJ1c2VyLXN1YiIsInVwbiI6InVzZXI3QGNvbXBhbnkuY29tIiwibmJmIjoiMTYwMDAwMDAwMCIsImlhdCI6IjE2MDAwMDAwMDAiLCJleHAiOiIxNzAwMDAwMDAwIiwidXNlcmlkIjoibDN6ODM2eCIsIndpbiI6IjIwODA5OTczOSIsImF1dGhvcml6YXRpb25fZGV0YWlscyI6WyJhY3Rpb246ZGVsZXRlIiwiYWN0aW9uOnJlYWQiXX0.signature-placeholder"
"w0u050h","243651432","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6IndyaXRlOmxpbWl0ZWQiLCJjbGllbnRfaWQiOiJtb2JpbGUtY2xpZW50IiwiZ3VpZCI6ImQ0MjMyZDUxLWNlMDItNGI0NS1iOGIxLThlZTkzNTJlMjlhOSIsImlzcyI6InBpbmdmZWQiLCJqdGkiOiJqdGktMzVlNWYzZjgtMTA5Mi00Y2MwLWI3MDctYTc5MTU4ZjZkNGExIiwiYXVkIjoiYXVkLTEyMyIsInN1YiI6InVzZXItc3ViIiwidXBuIjoidXNlcjhAZXhhbXBsZS5vcmciLCJuYmYiOiIxNjAwMDAwMDAwIiwiaWF0IjoiMTYwMDAwMDAwMCIsImV4cCI6IjE3MDAwMDAwMDAiLCJ1c2VyaWQiOiJ3MHUwNTBoIiwid2luIjoiMjQzNjUxNDMyIiwiYXV0aG9yaXphdGlvbl9kZXRhaWxzIjpbImFjdGlvbjpkZWxldGUiLCJhY3Rpb246cmVhZCJdfQ.signature-placeholder"
"j9q079s","262960055","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzY29wZSI6ImFkbWluIiwiY2xpZW50X2lkIjoiYXBpLWNsaWVudCIsImd1aWQiOiIxZWM0MjI1OS1lMWJhLTRmODUtOWEyMC1jMTk5MzFmMWZhZjYiLCJpc3MiOiJwaW5nZmVkIiwianRpIjoianRpLWJlNzZkYzFiLTFmMzktNDE3NS05ZGY0LWI1YWExMmM0NDlmMCIsImF1ZCI6ImF1ZC0xMjMiLCJzdWIiOiJ1c2VyLXN1YiIsInVwbiI6InVzZXI5QGV4YW1wbGUub3JnIiwibmJmIjoiMTYwMDAwMDAwMCIsImlhdCI6IjE2MDAwMDAwMDAiLCJleHAiOiIxNzAwMDAwMDAwIiwidXNlcmlkIjoiajlxMDc5cyIsIndpbiI6IjI2Mjk2MDA1NSIsImF1dGhvcml6YXRpb25fZGV0YWlscyI6WyJhY3Rpb246ZGVsZXRlIiwiYWN0aW9uOnJlYWQiXX0.signature-placeholder"
